cn,rcn_tacc,party_name,election_year,contest_name,total_votes,incumbent_flag,is_winner,average_amount_per_contrib,num_trans,total_contrib
Steve Cooley,stevecooley,REP,2010,attorney,4368624.0,N,0,1459.77,3797,5542737.84
Kamala D. Harris,kamaladharris,DEM,2010,attorney,4442781.0,N,1,968.48,7705,7462100.34
John Chiang,johnchiang,DEM,2010,controller,5325357.0,Y,1,1027.13,2157,2215518.96
Tony Strickland,tonystrickland,REP,2010,controller,3487014.0,N,0,1693.72,1572,2662524.04
Dave Jones,davejones,DEM,2010,insurance,4765400.0,N,1,993.84,4176,4150255.58
Gavin Newsom,gavinnewsom,DEM,2010,lieutenant,4917880.0,N,1,1341.68,4918,6598393.92
Abel Maldonado,abelmaldonado,REP,2010,lieutenant,3820971.0,N,0,1732.78,1307,2264745.51
Debra Bowen,debrabowen,DEM,2010,secretary,5105307.0,Y,1,657.26,1030,676977.57
Larry Aceves,larryaceves,NP,2010,superintendent,3476243.0,N,0,352.63,1323,466531.90
Tom Torlakson,tomtorlakson,NP,2010,superintendent,4222946.0,N,1,1220.24,1956,2386789.44
Bill Lockyer,billlockyer,DEM,2010,treasurer,5433222.0,Y,1,1350.25,389,525246.30
Mimi Walters,mimiwalters,REP,2010,treasurer,3479709.0,N,0,1490.05,1050,1564553.95
Ronald Gold,ronaldgold,REP,2014,attorney,3033476.0,N,0,1126.87,106,119448.52
Kamala D. Harris,kamaladharris,DEM,2014,attorney,4102649.0,Y,1,2059.94,2111,4348536.89
Betty T. Yee,bettytyee,DEM,2014,controller,3810304.0,N,1,849.82,2428,2063352.06
Ashley Swearengin,ashleyswearengin,REP,2014,controller,3249668.0,N,0,1647.02,816,1343968.81
Neel Kashkari,neelkashkari,REP,2014,governor,2929213.0,N,0,5304.48,1368,7256526.59
"Edmund G. ""Jerry"" Brown",edmundgjerrybrown,DEM,2014,governor,4388368.0,Y,1,14841.13,1246,18492047.51
Dave Jones,davejones,DEM,2014,insurance,4038165.0,Y,1,1205.56,2590,3122405.06
Ron Nehring,ronnehring,REP,2014,lieutenant,3078039.0,N,0,258.77,245,63398.27
Gavin Newsom,gavinnewsom,DEM,2014,lieutenant,4107051.0,Y,1,2119.72,1343,2846779.28
Alex Padilla,alexpadilla,DEM,2014,secretary,3799711.0,N,1,1619.44,2157,3493135.94
Marshall Tuck,marshalltuck,NP,2014,superintendent,2906989.0,N,0,843.08,3088,2603430.11
Tom Torlakson,tomtorlakson,NP,2014,superintendent,3167212.0,Y,1,1418.20,1790,2538580.91
Greg Conlon,gregconlon,REP,2014,treasurer,2925895.0,N,0,451.69,140,63236.22
John Chiang,johnchiang,DEM,2014,treasurer,4176793.0,N,1,1225.94,3042,3729302.50
Brian Dahle,briandahle,Republican,2016,State Assembly Member District 1,148657.0,Y,1,1365.43,417,569383.76
Marc Levine,marclevine,Democratic,2016,State Assembly Member District 10,140207.0,Y,1,1088.67,821,893799.20
Heath Flora,heathflora,Republican,2016,State Assembly Member District 12,81680.0,N,1,1910.46,165,315226.51
Ken Vogel,kenvogel,Republican,2016,State Assembly Member District 12,74433.0,N,0,652.90,688,449197.25
Tim Grayson,timgrayson,Democratic,2016,State Assembly Member District 14,107653.0,N,1,1985.57,388,770400.44
Tony Thurmond,tonythurmond,Democratic,2016,State Assembly Member District 15,189530.0,Y,1,1327.12,940,1247488.45
Claire Chiara,clairechiara,Republican,2016,State Assembly Member District 15,22528.0,N,0,228.79,15,3431.91
Catharine Baker,catharinebaker,Republican,2016,State Assembly Member District 16,129585.0,Y,1,1262.44,2692,3398496.47
Cheryl Cook-Kallio,cherylcookkallio,Democratic,2016,State Assembly Member District 16,102290.0,N,0,4329.02,708,3064946.90
David Chiu,davidchiu,Democratic,2016,State Assembly Member District 17,172153.0,Y,1,1438.84,732,1053233.75
Rob Bonta,robbonta,Democratic,2016,State Assembly Member District 18,156163.0,Y,1,1160.35,1617,1876284.19
Roseann Slonsky-Breault,roseannslonskybreault,Republican,2016,State Assembly Member District 18,23273.0,N,0,242.86,28,6800
Phil Ting,philting,Democratic,2016,State Assembly Member District 19,150052.0,Y,1,1493.01,777,1160072.41
Luis A. Wong,luisawong,Republican,2016,State Assembly Member District 20,39507.0,N,0,392.77,44,17281.91
Kevin Mullin,kevinmullin,Democratic,2016,State Assembly Member District 22,148289.0,Y,1,1169.45,730,853697.80
Gwen L. Morris,gwenlmorris,Republican,2016,State Assembly Member District 23,39656.0,N,0,1155.71,54,62408.32
Jim Patterson,jimpatterson,Republican,2016,State Assembly Member District 23,125153.0,Y,1,1286.28,547,703593.97
Marc Berman,marcberman,Democratic,2016,State Assembly Member District 24,92419.0,N,1,1088.96,873,950660.20
Vicki Veenker,vickiveenker,Democratic,2016,State Assembly Member District 24,77362.0,N,0,841.80,874,735733.74
Kansen Chu,kansenchu,Democratic,2016,State Assembly Member District 25,107821.0,Y,1,1219.87,322,392798.14
Bob Brunton,bobbrunton,Republican,2016,State Assembly Member District 25,40280.0,N,0,702.68,16,11242.93
Ruben Macareno,rubenmacareno,Democratic,2016,State Assembly Member District 26,44205.0,N,0,325.28,4,1301.13
Madison Nguyen,madisonnguyen,Democratic,2016,State Assembly Member District 27,63048.0,N,0,748.08,1550,1159518.93
Ash Kalra,ashkalra,Democratic,2016,State Assembly Member District 27,71696.0,N,1,1047.68,1054,1104259.84
Evan Low,evanlow,Democratic,2016,State Assembly Member District 28,136547.0,Y,1,1396.13,849,1185313.92
Sierra Roberts,sierraroberts,Republican,2016,State Assembly Member District 29,60245.0,N,0,2150.00,2,4300
Mark Stone,markstone,Democratic,2016,State Assembly Member District 29,156703.0,Y,1,881.56,397,349980.76
James Gallagher,jamesgallagher,Republican,2016,State Assembly Member District 3,108910.0,Y,1,803.79,931,748330.33
Anna Caballero,annacaballero,Democratic,2016,State Assembly Member District 30,79885.0,N,1,1423.07,454,646072.51
Karina Cervantez Alejo,karinacervantezalejo,Democratic,2016,State Assembly Member District 30,47998.0,N,0,1050.07,441,463081.35
Clint Olivier,clintolivier,Republican,2016,State Assembly Member District 31,35454.0,N,0,2237.81,329,736238.92
Joaquin Arambula,joaquinarambula,Democratic,2016,State Assembly Member District 31,62404.0,Y,1,1523.03,1236,1882467.51
Jay Obernolte,jayobernolte,Republican,2016,State Assembly Member District 33,84000.0,Y,1,1039.83,411,427369.08
